没	a
史论	noej
史前	noek
呱	noem
哪些	noen
史评	noeo
史记	noeu
鸣谢	noey
呆	nof
分毫无爽	nofc
史迹	nofd
哪去	noff
呠	noff
絊	noff
哪般	nofh
呆	nofm
㕲	nofm
㯋	nofm
噎死	nofn
䊾	nofn
分毫无损	nofs
㘄	nofv
縗	nofx
唏	nog
哪怕	nogd
史册	nogg
哪有	nogk
㖁	nogm
嗃	nogn
縞	nogn
唏	nogp
絺	nogp
嗜杀成性	nohg
史馆	nohi
吹毛求疵	nohr
吹毛求瑕	nohs
哪门	nohu
嗉	noi
哪家	noig
分析家	noig
嗉	noih
縤	noih
下榻留宾	noii
約	noii
絉	noii
史实	noij
史官	noip
哪来	nois
噋	noj
分毫不爽	nojc
分毫不取	nojd
告枕头状	nojd
鸣锣	nojf
鸣镝	nojj
分毫不差	nojn
噋	nojs
呆子	nojv
啍	nojv
綧	nojv
㗥	nojw
啨	nok
哪位	nokd
呆过	noke
呆傻	noke
㖊	nokf
呆在	noki
史传	nokl
啨	nokm
綪	nokm
呆住	nokr
鸣声	nokt
緵	nol
史载	nola
緵	nolb
告哀乞怜	nolg
哪国	nols
㕳	nolv
嚎	nom
唚	nomb
綅	nomb
哪算	nomd
嚎	nomg
喨	nomh
哪管	nomi
哪能	nomk
嘖	nomm
績	nomm
呆笨	nomo
鸣炮	nomo
鸣冤	nomp
史籍	nomr
鸣笛	nomx
史策	nomx
噎	non
嚎叫	nona
鸣叫	nona
唏嘘	nonc
呆着	nond
吻着	nond
哼着	nond
噎	none
哪吒	none
哼唧	none
咆哮	nong
哪只	nong
哼哧	noni
哼唷	nonj
呜咽	nonl
呴	nonm
絇	nonm
呆呆	nono
呜呜	nono
啧啧	nono
哼哼	nono
槑	nono
呱嗒	nonp
唿哨	nonq
哼唱	nonr
鸣唱	nonr
呜呼	nonv
喣	nonx
啄木鸟	noo
哪样	nooa
呆板	nooc
呆瓜	nooe
哅	nool
啄木鸟	nooq
䋂	noow
分毫析厘	noox
鸣枪	nooy
吃枪药	nop
吻别	nopa
縩	nopg
㗫	nopg
呆帐	nopi
吃枪药	nopq
吻合	nopw
嗉囊	nopx
鸣	noq
吻兽	noqc
鸣鞭	noqk
鸣	noqm
吻	nor
吻痕	norc
吻	nore
咰	norm
絢	norm
啼鸟晴明	norr
唿	noru
緫	noru
呯	nos
䍬	nosi
旃檀瑞像	nosk
呯	nosm
旄	not
唽	note
㕰	notm
䋃	notn
鸣金	notw
旄	noty
呁	noty
哼	nou
哪边	noue
哪天	noug
喳	noum
哼	nouv
呜	nov
哪敢	novd
呜	novf
食毛践土	novi
分析研究	novl
㕼	novo
鸣放	novs
啕	novt
綯	novt
史书	novv
哪	now
喀麦隆	nowb
史上	nowh
史料	nowj
哪里	nowm
史	nowm
哪儿	nowq
綂	nowq
哪	nowv
喖	nox
逞凶肆虐	noxc
䋝	noxc
喖	noxf
吹毛索垢	noxi
㗒	noxq
吹毛索瘢	noxr
啧	noy
吓杀人香	noyc
哪会	noye
呆会	noye
鸣禽	noyf
唿扇	noyh
呆账	noyi
哪个	noyj
啧	noym
足高气强	noyq
嚎春	noyr
哈	np
吃得消	npa
哈皮	npac
哵	npaj
分别善恶	npam
口若河悬	npam
吃得消	npaq
纄	npb
纄	npbe
告往知来	npbi
吚	npbm
䗽	npbm
喥	npbx
叨	npc
哈利	npca
哈达	npce
唯恐	npch
喵	npcm
叨	npcm
叧	npcm
緢	npcm
糿	npcn
咙	npd
㘛	npda
縙	npdf
分别部居	npdh
吊装	npdk
咙	npdm
哈尼	npdn
㘕	npds
吊起	npdu
串街走巷	npdw
食荼卧棘	npdx
嘥	npe
呓语	npea
吊诡	npej
响彻云霄	npem
响彻云表	npeo
嘥	npes
縦	npes
縰	npes
颕	npf
哈罗	npfi
䌩	npfi
唯一	npfj
吊死	npfn
吊卷	npfo
旗帜鲜明	npfr
吃苦耐劳	npft
吊臂	npfw
颕	npfy
喏	npg
緓	npgc
嘩	npgg
吊孝	npgj
唯有	npgk
呩	npgm
喏	npgn
㘃	npgu
噏	nph
黾勉从事	nphh
噏	nphh
縱	nphs
㗰	nphs
吃菜事魔	npht
嗱	npht
羞花闭月	nphu
分别门户	nphy
分别为	npi
叨客	npib
囈	npie
叨登	npih
紉	npii
唯实	npij
叨光	npil
吊塔	npip
吃得来	npis
分别为	npiu
綛	npiu
吃苦头	npj
吃著不尽	npjb
吃苦头	npjc
令行禁止	npje
叫苦不迭	npje
䌲	npjf
分茅锡土	npji
嚵	npji
纔	npji
吊针	npjl
吊钩	npjo
吊销	npjq
吊铺	npju
叫花子	npjv
嗬	npk
吊具	npkg
噶伦	npkj
吃苦在先	npkm
嗬	npkn
噬菌体	npko
哈佛	npkq
靠得住	npkr
哈巴	npkv
絕	npkv
旅行团	npl
啽	npld
吊窗	nple
旅行团	npll
哈欠	nplq
叨念	nplu
吊	npm
口若悬河	npma
哈雷	npmc
囒	npmh
吊	npmm
呬	npmm
嘳	npmm
繢	npmm
食藿悬鹑	npmo
吊灯	npmr
吊篮	npmt
造微入妙	npmx
斾	npmy
紹	npn
吊唁	npnc
䬭	npnc
吊着	npnd
患得患失	npne
咽苦吐甘	npne
哎呀	npnh
紹	npnm
吟花咏柳	npno
哈哈	npnp
哎哟	npnq
哈喇	npns
叨唠	npnt
叨咕	npnx
哎	npo
呆若木鸡	npob
吊楼	npod
㗱	npof
䌖	npof
吊桥	npog
嚆	npon
吊祭	npop
䌨	npop
吊杆	npoq
吊桶	npoq
㖴	npor
吊毛	npot
繱	npou
哎	npow
吊柜	npox
嗒	npp
嚄	nppb
囌	nppc
吊牌	nppd
繾	nppe
咬得菜根	nppo
哈药	nppq
嗒	nppw
䌋	nppw
䌭	nppx
吴茱萸	nppy
嚿	nppy
鮺	npq
哈弗	npqd
吊线	npqe
鮺	npqi
吊兰	npqm
吊绳	npqn
哈维	npqp
吊瓶	npqx
唯	npr
吊车	npra
旅行车	npra
噤若寒蝉	nprb
囆	nprb
吊顶	nprf
叫苦连声	nprk
唯	nprm
嚕	nprm
噧	nprn
維	nprn
鷕	nprr
叫苦连天	npru
噶	nprv
哘	nps
叨扰	npsb
哈拉	npsd
哘	npsg
絎	npsg
吊挂	npsi
吊环	npsj
吊扣	npsn
吊打	npsr
吀	npt
唯独	nptb
吀	nptm
听微决疑	nptn
䊹	nptn
吊床	npto
㘅	npts
嘚	npu
差若天渊	npua
号召力	npuc
咽苦吞甘	npue
哈腰	npuh
分茅胙土	npui
嘚	npuk
吊架	npun
唯物	npuo
唯心	npup
㗹	npup
造茧自缚	npuq
呓	npv
旅行者	npvf
吊带	npvm
㗸	npvs
呓	npvv
哈	npw
噍类	npwc
差得远	npwe
吃拿卡要	npwh
旅行社	npwi
嗒然	npwl
哈里	npwm
哈	npwm
給	npwn
唱片儿	npwq
絻	npwq
唯我	npwt
吊坠	npwy
你敬我爱	npwy
囔	npx
令行如流	npxa
噶厦	npxf
吃得开	npxg
吊索	npxi
哈萨克斯坦	npxi
哈姆	npxj
哈萨克族	npxn
噍	npxo
嗻	npxo
嚾	npxp
䌯	npxp
喉焦唇干	npxq
哈萨克	npxw
囔	npxx
嗏	npy
唯美	npyc
吊扇	npyh
吊射	npyk
吊丧	npyo
嗒丧	npyo
嗏	npyo
喢	npyr
哈气	npyt
差得太远	npyw
令	nq
刢	nqa
领江	nqac
吹干泪眼	nqad
令其	nqaf
刢	nqaj
领海	nqal
领洗	nqam
领涨	nqaq
领港	nqaw
吐绶鸡	nqb
令堂	nqbi
养尊处优	nqbk
吐绶鸡	nqbo
领略	nqcb
哨所	nqcl
逞强称能	nqcm
口尚乳臭	nqcu
咈	nqd
领取	nqdb
领属	nqde
领章	nqdf
领奖	nqdi
领导	nqdk
咈	nqdr
紼	nqdr
唱红白脸	nqdu
令亲	nqdy
领	nqf
领罪	nqfe
领航	nqff
兄弟般	nqfh
下半夜	nqfk
領	nqfm
㗆	nqfm
緙	nqfn
世纪末	nqfo
兄弟离散	nqfx
领	nqfy
串通一气	nqfy
嗔	nqg
领悟	nqga
嗔怪	nqgb
旞	nqge
繸	nqge
兄弟怡怡	nqgg
领教	nqgj
领有	nqgk
緔	nqgn
领情	nqgo
嗔	nqgw
縝	nqgw
翎	nqh
邻居	nqhb
吃干饭	nqhc
领事	nqhd
领道	nqhe
翎	nqhh
匕首	nqhi
口干舌燥	nqhm
兄弟手足	nqhn
口干舌焦	nqhp
咋舌	nqht
噌	nqi
领域	nqia
领地	nqid
令郎	nqie
领土	nqif
邻家	nqig
嚡	nqii
令名	nqin
嗔怨	nqio
哨塔	nqip
噌	nqir
繒	nqir
下半场	nqiv
瓴	nqj
瓴	nqja
兄弟不知	nqjb
兄弟急难	nqjb
领头	nqjc
兄弟孔怀	nqjg
吲	nqjj
吖	nqjj
紖	nqjj
领钩	nqjo
㗾	nqjr
领子	nqjv
哨子	nqjv
哨	nqk
䌃	nqka
令他	nqkd
哨位	nqkd
絆	nqkg
兄弟们	nqkh
哨	nqkm
旓	nqkm
綃	nqkm
叶绿体	nqko
哨声	nqkt
嗵	nql
领空	nqlc
嗵	nqle
领水	nqlm
下半年	nqlr
邻国	nqls
㗈	nqlu
领舞	nqlv
繈	nqm
领到	nqma
繈	nqmb
令箭	nqme
邻县	nqmm
嗩	nqmm
领军	nqmr
领先	nqmt
紭	nqmx
繦	nqn
令旗	nqna
繦	nqnb
咋唬	nqnc
领着	nqnd
唢呐	nqng
领养	nqni
领口	nqnm
令你	nqnr
领唱	nqnr
縂	nqnu
咋呼	nqnv
哾	nqnw
綐	nqnw
哟	nqo
咋样	nqoa
哟	nqoi
叶绿素	nqoi
邻村	nqok
鸰	nqoq
翎毛	nqot
令牌	nqpd
口绝行语	nqpe
领衔	nqpj
领花	nqpj
领巾	nqpm
吹弹得破	nqpv
响当当	nqq
颪	nqqf
领结	nqqk
响当当	nqqo
綈	nqqr
㖒	nqqr
兄终弟及	nqqu
令尊	nqqy
啴	nqr
下半晌	nqre
旋干转坤	nqri
下半时	nqrk
啴	nqrl
吹弹歌舞	nqrl
鴒	nqrr
吹弹可破	nqrv
领主	nqry
邻接	nqsh
领班	nqsl
施绯拖绿	nqsq
咋	nqt
邻近	nqte
兄弟相害	nqti
咋	nqtm
䋏	nqtn
令狐	nqto
邻邦	nqtw
嘞	nqu
吸引力	nquc
嘞	nquc
咋办	nqug
口直心快	nqug
唱红脸	nquw
匕	nqv
领路	nqvb
哨兵	nqvg
领兵	nqvg
分鞋破镜	nqvj
领带	nqvm
领跑	nqvo
邻	nqw
哨卡	nqwa
领陆	nqwk
邻里	nqwm
领命	nqwn
邻	nqwv
领队	nqwy
哨音	nqwy
令	nqx
嗔怒	nqxb
令她	nqxd
造纸厂	nqxd
絣	nqxg
逞强好胜	nqxu
令	nqxw
兄弟姐妹	nqxx
令嫒	nqxy
唢	nqy
领受	nqyb
领会	nqye
緧	nqyf
令爱	nqyg
邻舍	nqyh
咋个	nqyj
噂	nqyk
繜	nqyk
唢	nqym
世纪初	nqyp
领奏	nqyu
令人	nqyw
吸引人	nqyw
差强人意	nqyw
领袖	nqyx
喝	nr
下星期	nra
羯羊	nrai
唱收	nras
下星期	nrau
喝汤	nrav
喝酒	nray
縧	nrb
唱戏	nrba
养晦韬光	nrbi
你对	nrbk
唱出	nrbl
縧	nrbo
緇	nrc
唱工	nrcf
你所	nrcl
緇	nrcm
唱和	nrcn
喝彩	nrco
唱功	nrcu
嘬	nrd
嘬	nrdb
繓	nrdb
旨趣	nrdd
燕歌赵舞	nrdl
唱起	nrdu
喅	nrdy
匘	nre
你该	nree
唱诗	nrei
匘	nreo
你说	nreq
唱词	nrev
燕巢幕上	nrew
叮	nrf
縵	nrfb
只轮无反	nrfc
燕巢于幕	nrfe
嗶	nrff
縪	nrff
叮	nrfm
糽	nrfn
唱盘	nrfs
燕昭市骏	nrfv
分星劈两	nrfx
分星擘两	nrfx
喁	nrg
嗮	nrgf
喁	nrgn
䋘	nrgn
你懂	nrgp
吃软饭	nrh
吃软饭	nrhc
喝道	nrhe
䌈	nrhh
䭫	nrhi
喝问	nrhn
唱票	nrhp
嘘寒问暖	nrhr
噻	nri
你	nri
噻	nrif
㖏	nrif
喝多	nrii
喝光	nril
縨	nril
唱名	nrin
喝完	nriw
唱完	nriw
呻	nrj
緄	nrja
只轮不反	nrjc
只轮不返	nrjc
燕巢危幕	nrje
吹影镂尘	nrjh
呻	nrjj
紳	nrjj
唱主角	nrjl
嘬瘪子	nrjv
喝过	nrke
你们	nrkh
旨在	nrki
唱付	nrkk
你俩	nrkx
啭	nrl
啭	nrli
喝水	nrlm
呵欠	nrlq
喝点	nrlx
旨	nrm
喝到	nrma
㘔	nrmm
养痈致患	nrmn
旨	nrmq
呵	nrn
叮咚	nrnb
喝着	nrnd
唱着	nrnd
叮嘱	nrnd
唱响	nrne
喝下	nrnf
噻唑	nrnh
叮咛	nrni
吠影吠声	nrnk
嗈	nrnk
呻吟	nrnl
呵	nrnm
䋍	nrnm
㫊	nrnm
噻吩	nrnn
呵叱	nrnn
唱喏	nrnp
喝令	nrnq
呵呵	nrnr
喝足	nrns
叮咬	nrnt
你啊	nrnw
羯	nro
唱衰	nrof
唱本	nrof
嘄	nrof
綶	nrof
唱机	nroh
喝杯	nroj
唱标	nrop
緆	nror
羯	nrov
喝	nrov
䋵	nrov
呵责	nroy
响遏行云	nrpe
叶瘦花残	nrpf
你若	nrpg
养痈遗患	nrpn
喝药	nrpq
唱片	nrpr
喝得	nrpu
唱得	nrpu
喝茶	nrpy
哻	nrq
燕巢卫幕	nrqe
喝干	nrqg
哻	nrqg
旋转干坤	nrqi
叮当	nrqo
喝粥	nrqw
唱	nrr
世易时移	nrrc
䭬	nrrd
鴹	nrri
唱	nrrm
鳴	nrrm
唱歌	nrrn
繅	nrro
噆	nrrr
鴲	nrrr
䍼	nrrr
啥时候	nrru
縄	nrrv
鳻	nrrw
嗢	nrs
嗢	nrsm
緼	nrsm
㫍	nrst
燕瘦环肥	nrsu
分星拨两	nrsx
呵护	nrsy
贫病交攻	nrtc
贫病交迫	nrtd
呵斥	nrti
喝斥	nrti
食日万钱	nrtj
贫病交加	nrtu
吊影自怜	nrug
唱腔	nrul
养痈自患	nrun
喝了	nruv
养痈自祸	nruw
黾	nrv
燕巢飞幕	nrve
絏	nrve
㖂	nrve
唱段	nrvh
唱碟	nrvn
黾	nrvv
𫑡	nrvw
嚗	nrw
喝上	nrwh
嚗	nrwl
下塞上聋	nrwp
旨意	nrwu
只可意会	nrwy
嗚	nrx
喝奶	nrxc
吠日之怪	nrxg
你好	nrxj
嗚	nrxo
嗜痂之癖	nrxr
你妈	nrxv
下车之始	nrxx
紸	nry
喝醉	nryf
唱酬	nryl
养痈贻患	nryn
紸	nryn
差可人意	nryw
号	ns
喇	nsa
盆浴	nsag
喇	nsaj
下九流	nsak
食指浩繁	nsal
号	nsam
盆汤	nsav
分理处	nsb
分理处	nsba
饕	nsc
饕	nscc
食指大动	nsce
號	nsch
㙱	nsci
号称	nscj
足彩	nsco
啦	nsd
足联	nsdg
啪	nsdr
号数	nsds
啦	nsdy
逞	nse
分损谤议	nsee
呈请	nseo
逞	nsep
綀	nsf
鸣琴而治	nsfa
足迹	nsfd
䪽	nsfm
綀	nsfn
号衣	nsfx
饕餮	nsfy
呈	nsg
呈送	nsge
逞性	nsgl
呈	nsgm
㕵	nsgm
足见	nsgw
足	nsh
吃现成饭	nshh
䟳	nshh
足岁	nshi
足	nshm
呈阅	nshq
号手	nsht
吟弄风月	nshu
足球场	nsi
号外	nsia
足额	nsib
盆地	nsid
足坛	nsie
紈	nsii
盆塘	nsit
号为	nsiu
足球场	nsiv
唞	nsj
足银	nsjc
呈正	nsjf
足色	nsjk
号角	nsjl
唞	nsjl
呈政	nsjs
盆子	nsjv
世扰俗乱	nskh
嗽	nsl
盆栽	nsla
哢	nsld
紣	nslf
呈献	nslg
只是因为	nsli
嗽	nslq
足协	nslu
盆	nsm
足矣	nsmb
号筒	nsmg
逞能	nsmk
㖷	nsmm
緹	nsmn
号炮	nsmo
呈露	nsmv
盆	nsmw
飸	nsn
号叫	nsna
飸	nsnc
足下	nsnf
喇叭	nsng
啪嚓	nsni
号啕	nsno
啪嗒	nsnp
号令	nsnq
足足	nsns
啪啪	nsns
喇嘛	nsnt
鸮	nso
足本	nsof
逞凶	nsol
足够	nson
鸮	nsoq
号牌	nspd
呈示	nspg
盆花	nspj
号召	nspn
㕤	nsq
㕤	nsqm
逞强	nsqn
吹拉弹唱	nsqn
䊵	nsqn
呈递	nsqq
足球赛	nsr
鸣玉曳履	nsrd
咑	nsrf
盆景	nsrh
足可	nsrn
鸣玉曳组	nsrq
鴞	nsrr
足疗	nsru
足球赛	nsry
噖	nss
呈报	nssa
呈现	nssg
足球	nssh
噖	nssl
哳	nst
哳	nste
呈览	nstg
䍩	nsti
呚	nstm
攽	nstw
足金	nstw
呈交	nsty
口是心非	nsue
号脉	nsui
哄抬物价	nsuk
盆腔	nsul
口是心苗	nsup
足月	nsuq
呈文	nsuy
号兵	nsvg
足以	nsvi
号码	nsvv
郢	nsw
呈祥	nswa
你抢我夺	nswc
你推我让	nswe
郢	nswv
足球队	nswy
号哭	nsxl
号丧	nsyo
号房	nsyv
听	nt
听觉	ntag
叶底清圆	ntal
鸣金收军	ntam
鸣金收兵	ntav
听戏	ntba
听出	ntbl
听劝	ntbu
听后	ntch
㗂	ntd
听取	ntdb
分劳赴功	ntdc
听装	ntdk
㗂	ntdm
䌅	ntdn
呼鹰走狗	ntdt
听	nte
燕金募秀	ntec
听讼	nteg
听话	nteh
听讲	ntei
听证	ntej
听	ntem
斲	nten
紤	nten
㖢	nten
听说	nteq
听课	nter
听诊	ntey
旂	ntey
	ntf
纐	ntfm
緗	ntfn
呋	ntg
吃东西	ntgf
分床同梦	ntgj
呋	ntgm
䊿	ntgn
听懂	ntgp
听见	ntgw
听惯	ntgy
咬牙	ntha
听闻	nthd
吵闹	nthf
咬紧牙关	nthg
听风	ntho
咬舌	ntht
听成	nthv
听从	nthw
咬定	ntif
咬字	ntij
听审	ntir
听来	ntis
听完	ntiw
嘛	ntj
呡	ntja
䋋	ntja
唱独角戏	ntjb
嘛	ntjf
䌕	ntjf
嚤	ntjh
嚒	ntji
邻近色	ntjk
緡	ntjr
㗃	ntjr
听政	ntjs
听子	ntjv
嚰	ntjv
听错	ntjx
吵	ntk
听任	ntka
听凭	ntka
听信	ntkc
听他	ntkd
听过	ntke
咬过	ntke
听便	ntkf
咬伤	ntkl
吵	ntkm
紗	ntkn
咬住	ntkr
听声	ntkt
分庭伉礼	ntkw
贫民窟	ntl
贫民窟	ntld
絘	ntlq
吴邦国	ntls
分金掰两	ntlx
唙	ntm
听到	ntma
听雨	ntmf
听写	ntmf
听筒	ntmg
勤劳致富	ntmi
唙	ntmi
嗗	ntmm
縎	ntmn
絋	ntmx
吃独食	ntn
吃独食	ntnc
听着	ntnd
咬着	ntnd
吵嘴	ntne
咬下	ntnf
唠嗑	ntnf
吵嚷	ntnf
听吧	ntnk
唠叨	ntnp
唥	ntnq
听你	ntnr
听听	ntnt
听牌	ntpd
造次行事	ntph
听得	ntpu
咬得	ntpu
咬合	ntpw
造次颠沛	ntqa
养贤纳士	ntqk
勤劳勇敢	ntqv
旗靡辙乱	ntrh
听歌	ntrn
听候	ntru
分斤较两	ntrx
吵扰	ntsb
唠扯	ntse
吵杂	ntso
听打	ntsr
咬掉	ntsu
分庭抗礼	ntsw
分斤拨两	ntsx
嘃	ntt
吟骨萦消	ntta
咬紧	ntti
嘃	nttj
听骨	nttm
纉	nttm
唠	ntu
咬群	ntua
听力	ntuc
唠	ntuc
吵架	ntun
听了	ntuv
咬了	ntuv
听腻	ntuw
听者	ntvf
𠳐	ntw
听障	ntwd
嘨	ntwd
繍	ntwd
纏	ntwi
唫	ntwm
听命	ntwn
䋮	ntwn
𠳐	ntwv
綁	ntwv
嚝	ntx
听她	ntxd
嚝	ntxg
纊	ntxg
咬	nty
听会	ntye
听众	ntyh
咬	ntym
絞	ntyn
吵醒	ntyr
听人	ntyw
咬人	ntyw
您	nu
口服液	nua
吹牛皮	nuac
呕心沥血	nuae
口服液	nuaf
嗅觉	nuag
吸溜	nuai
吴淞	nuao
吸收	nuas
品物流形	nuax
紀	nub
吸出	nubl
㖀	nubm
紀	nubn
䋖	nubn
食物中毒	nubo
叻	nuc
劷	nuci
哺乳	nucj
叻	nucm
糼	nucn
嚊	nucu
哜	nud
吸取	nudb
燕驾越毂	nudk
靠边站	nudl
哜	nudr
吴起	nudu
咇	nue
吴语	nuea
咇	nuee
㗺	nuef
嚎天动地	nuei
唯物论	nuej
唯心论	nuej
您说	nueq
吃肥丢瘦	nuer
吸血	nues
噬脐莫及	nueu
逞己失众	nuey
哺	nuf
颖脱而出	nufb
吃了一惊	nufg
哺	nufm
啅	nufm
綽	nufm
䋠	nufn
吸盘	nufs
噬脐无及	nufu
吓了一跳	nufv
叩天无路	nufv
号天而哭	nufx
吴	nug
忿恨	nugc
吴	nugm
咮	nugw
絑	nugw
吸热	nugx
嗅闻	nuhd
品物咸亨	nuho
下自成蹊	nuhv
吸进	nuie
吃自来食	nuin
食物链	nuj
分文不取	nujd
呼天不闻	nujh
分文不名	nuji
哺育	nujk
分文不值	nujk
分文不直	nujq
食物链	nujr
呼天不应	nujt
分文不少	nujt
吊膀子	nujv
吃力不讨好	nujx
下脚货	nujy
縛	nuk
吸储	nuke
縛	nukf
䍸	nukf
㗘	nukf
咱们	nukh
喘息未定	nuki
喘息未安	nuki
令月吉日	nukr
噬脐何及	nuku
呼牛作马	nukv
施朱傅粉	nukw
咱俩	nukx
嗅	nul
吴承恩	nulc
疑心生暗鬼	nulc
嗅	nuld
䍹	nuld
㖭	nulk
䋬	nulk
吸水	nulm
吴国	nuls
呾	num
嗅到	numa
吸管	numi
吸烟	numl
呾	numm
緽	numm
䋎	numn
吐肝露胆	numu
吸入	numw
咖	nun
唯物史观	nunb
唯心史观	nunb
吸食	nunc
号天叫屈	nund
咖啡	nune
呼天喊地	nuni
咬文嚼字	nuni
呼天叩地	nuni
咖	nunm
吸吮	nunm
㖔	nunm
㗎	nuno
喘月吴牛	nunu
咖喱	nunx
叹了口气	nuny
吊脚楼	nuo
分朋树党	nuob
吊脚楼	nuod
吸毒	nuoj
啺	nuor
燕股横金	nuot
忿	nup
忑	nupf
吣	nupm
您	nupr
忿	nupw
吸	nuq
吸纳	nuqg
吸引	nuqj
呼朋引伴	nuqk
吸	nuqm
級	nuqn
分朋引类	nuqw
咱	nur
唯物主义	nuri
唯心主义	nuri
咱	nurm
緕	nurr
疑心病	nurx
造物主	nury
呼天抢地	nusi
下了珠帘	nusl
吊胆提心	nusu
吹牛拍马	nusv
唯力是视	nusw
吽	nut
鄙吝冰消	nuta
吽	nutm
䋅	nutn
嗋	nuu
吸力	nuuc
嗋	nuuk
口腹自役	nuup
䋟	nuup
綳	nuuq
吸了	nuuv
食必方丈	nuvg
听天命	nuw
唯物辩证法	nuwa
靠边儿站	nuwd
吃天鹅肉	nuwg
下脚料	nuwj
吸附	nuwk
忿然	nuwl
嘷	nuwl
㖤	nuwl
听天命	nuwn
口腹之累	nuxc
喘息之间	nuxh
啼天哭地	nuxi
您好	nuxj
喘息之机	nuxo
听天由命	nuxw
𫘝	nuy
吸氧	nuya
靠胸贴肉	nuyg
呅	nuym
紋	nuyn
吸气	nuyt
𫘝	nuyw
吷	nuyw
䊽	nuyw
世	nv
㗞	nva
嘶骑渐遥	nvac
吊誉沽名	nvai
旋涡	nvan
㗞	nvav
呼蚩	nvbf
呼出	nvbl
下马观花	nvbp
吳	nvc
吳	nvcd
喻以利害	nvci
嚹	nvcl
世界	nvcy
噉	nvd
着书立说	nvde
噉	nvds
世局	nvdv
迣	nve
旋即	nvea
啖以甘言	nvec
呼延	nvee
世系	nvei
迣	nvep
旋踵即逝	nves
叼	nvf
食方于前	nvfe
叼	nvff
呉	nvfg
啫	nvfm
緒	nvfn
世面	nvfu
世情	nvgo
下马威	nvh
叱石成羊	nvha
緞	nvhb
世事	nvhd
世道	nvhe
下马威	nvhf
口举手画	nvhf
呞	nvhf
旋翼	nvhh
足蹈手舞	nvhl
旋风	nvho
世风	nvho
世间	nvhr
呼救	nvhs
羝	nvi
世外	nvia
世家	nvig
羝	nvii
呧	nvii
緖	nvii
世贸	nvip
食马留肝	nviu
㕽	nviy
只骑不反	nvjc
旋钮	nvjl
旋子	nvjv
䋳	nvk
世俗	nvkg
世传	nvkl
䋳	nvkm
世弊	nvks
世仇	nvks
呼声	nvkt
世代	nvkw
呼	nvl
呼	nvlf
口碑载道	nvlh
下马看花	nvlp
㰥	nvlq
世博	nvlu
呷	nvm
呷	nvmm
貰	nvmm
呼台	nvmn
勩	nvmu
羌笛	nvmx
羗	nvmx
吗	nvn
呼叫	nvna
世族	nvnb
羌族	nvnb
呼啸	nvnd
叼着	nvnd
吗啡	nvne
呼吁	nvnf
呼噜	nvnf
呼喊	nvnh
呼哧	nvni
呼唤	nvnj
吗	nvnm
岔路口	nvnm
嘟哝	nvnm
足兵足食	nvnn
嘟囔	nvnp
呼哨	nvnq
呼号	nvns
呼喇	nvns
呼吸	nvnu
呼呼	nvnv
嘟嘟	nvnv
世兄	nvnw
枼	nvo
䢡	nvoe
枼	nvof
呼机	nvoh
旋梯	nvoq
差以毫厘，失之千里	nvow
差以毫厘	nvox
世袭	nvpf
听者藐藐	nvpp
养兵千日	nvpr
世行	nvps
旋律	nvpu
差以千里	nvpw
养路费	nvq
养路费	nvqd
吴带当风	nvqh
呼兰	nvqm
紙	nvqn
世纪	nvqu
口蹄疫	nvr
口蹄疫	nvrh
旋塞	nvri
旋转	nvrl
緍	nvrm
㖧	nvrm
鶭	nvrr
旋	nvs
䗠	nvsb
旋	nvsh
分兵把守	nvsi
分路扬镳	nvsj
縃	nvsk
令骥捕鼠	nvsy
世相	nvtf
旋紧	nvti
呼应	nvtm
下马冯妇	nvtx
世交	nvty
世变	nvub
羞以牛后	nvuc
足以自豪	nvuo
嘴硬心软	nvur
羌	nvv
世	nvvf
乤	nvvf
羌	nvvi
䍷	nvvi
旋踵	nvvj
喡	nvvm
糺	nvvn
緯	nvvn
吃鸭蛋	nvvs
噗碌碌	nvvx
嘟	nvw
世上	nvwh
嘟	nvwv
世医	nvxb
啖以厚利	nvxc
世故	nvxs
嗜书如命	nvxw
贳	nvy
吕氏春秋	nvyc
呼扇	nvyh
唹	nvyj
贳	nvym
㕫	nvym
紡	nvyn
呼气	nvyt
勚	nvyu
世态	nvyu
世人	nvyw
分	nw
咔	nwa
分派	nwac
分润	nwah
分流	nwak
咔	nwal
分清	nwao
分期	nwau
分泌	nwau
分洪	nwaw
养儿备老	nwbg
分叉	nwbi
分出	nwbl
造福桑梓	nwbo
分工	nwcf
分项	nwcf
分所	nwcl
哄然大笑	nwcm
分秒	nwct
足音跫然	nwcw
分界	nwcy
分赴	nwda
分层	nwde
分属	nwde
分章	nwdf
分站	nwdl
分部	nwdn
分数	nwds
分局	nwdv
分立	nwdy
分	nwe
啣	nwea
分设	nweh
分歧	nwel
哑然失笑	nwem
下意识	nwen
分币	nwep
分说	nweq
哄动	nweu
分词	nwev
分诊	nwey
哄	nwf
分裂	nwfa
嘎然而止	nwfe
世上无难事	nwfh
分辨率	nwfi
分舵	nwfi
养精畜锐	nwfj
只限于	nwfl
哑然一笑	nwfm
哄	nwfm
喟然而叹	nwfn
分离	nwfo
分卷	nwfo
嘴上无毛	nwfo
噍类无遗	nwfp
叨陪末座	nwft
造福一方	nwfv
分页	nwfy
綸	nwg
分忧	nwgb
疑神见鬼	nwgc
分册	nwgg
分布	nwgp
綸	nwgp
㖮	nwgp
